time,p
3.8539,9999.99999999992
3.854,9999.9999999999
3.8541,9999.99999999988
3.8542,9999.99999999986
3.8543,9999.99999999984
3.8544,9999.99999999981
3.8545,9999.9999999998
3.8546,9999.99999999981
3.8547,9999.99999999978
3.8548,9999.99999999978
3.8549,9999.99999999978
3.855,9999.99999999978
3.8551,9999.99999999978
3.8552,9999.99999999978
3.8553,9999.99999999977
3.8554,9999.99999999976
3.8555,9999.99999999979
3.8556,9999.99999999978
3.8557,9999.99999999979
3.8558,9999.99999999979
3.8559,9999.9999999998
3.856,9999.99999999982
3.8561,9999.99999999983
3.8562,9999.99999999985
3.8563,9999.99999999986
3.8564,9999.99999999987
3.8565,9999.99999999989
3.8566,9999.9999999999
3.8567,9999.99999999991
3.8568,9999.99999999992
3.8569,9999.99999999993
3.857,9999.99999999994
3.8571,9999.99999999995
3.8572,9999.99999999996
3.8573,9999.99999999997
3.8574,9999.99999999998
3.8575,9999.99999999999
3.8576,10000
3.8577,10000
3.8578,10000
3.8579,10000
3.858,10000.0000000001
3.8581,10000.0000000001
3.8582,10000.0000000001
3.8583,10000.0000000001
3.8584,10000.0000000001
3.8585,10000.0000000002
3.8586,10000.0000000002
3.8587,10000.0000000002
3.8588,10000.0000000002
3.8589,10000.0000000002
3.859,10000.0000000002
3.8591,10000.0000000002
3.8592,10000.0000000002
3.8593,10000.0000000002
3.8594,10000.0000000002
3.8595,10000.0000000002
3.8596,10000.0000000002
3.8597,10000.0000000002
3.8598,10000.0000000002
3.8599,10000.0000000002
3.86,10000.0000000002
3.8601,10000.0000000002
3.8602,10000.0000000002
3.8603,10000.0000000002
3.8604,10000.0000000002
3.8605,10000.0000000002
3.8606,10000.0000000001
3.8607,10000.0000000001
3.8608,10000.0000000001
3.8609,10000.0000000001
3.861,10000.0000000001
3.8611,10000.0000000001
3.8612,10000.0000000001
3.8613,10000.0000000001
3.8614,10000.0000000001
3.8615,10000
3.8616,10000
3.8617,10000
3.8618,10000
3.8619,9999.99999999999
3.862,9999.99999999997
3.8621,9999.99999999996
3.8622,9999.99999999994
3.8623,9999.99999999992
3.8624,9999.99999999991
3.8625,9999.99999999988
3.8626,9999.99999999986
3.8627,9999.99999999984
3.8628,9999.99999999981
3.8629,9999.99999999979
3.863,9999.99999999979
3.8631,9999.99999999977
3.8632,9999.99999999978
3.8633,9999.99999999977
3.8634,9999.99999999978
3.8635,9999.99999999977
3.8636,9999.99999999977
3.8637,9999.99999999976
3.8638,9999.99999999977
3.8639,9999.99999999976
3.864,9999.99999999979
3.8641,9999.99999999978
3.8642,9999.9999999998
3.8643,9999.99999999982
3.8644,9999.99999999983
3.8645,9999.99999999984
3.8646,9999.99999999985
3.8647,9999.99999999986
3.8648,9999.99999999988
3.8649,9999.99999999989
3.865,9999.9999999999
3.8651,9999.99999999991
3.8652,9999.99999999992
3.8653,9999.99999999993
3.8654,9999.99999999994
3.8655,9999.99999999995
3.8656,9999.99999999996
3.8657,9999.99999999997
3.8658,9999.99999999999
3.8659,10000
3.866,10000
3.8661,10000
3.8662,10000
3.8663,10000.0000000001
3.8664,10000.0000000001
3.8665,10000.0000000001
3.8666,10000.0000000001
3.8667,10000.0000000001
3.8668,10000.0000000001
3.8669,10000.0000000002
