time,p,q,v_a,v_b,v_c,i_a,i_b,i_c,p_kw,q_kw
11.189,0.0068,0.0046,0.3831,0.6703,-1.0534,0.026101777868,0.021460645851,-0.047562423718,6.8,4.6
11.19,0.0068,0.0046,-0.0173,0.932,-0.9147,0.009286463058,0.035820795255,-0.045107258312,6.8,4.6
11.191,0.0068,0.0046,-0.4152,1.0582,-0.643,-0.008879172055,0.044972037359,-0.036092865305,6.8,4.6
11.192,0.0068,0.0046,-0.7527,1.0305,-0.2778,-0.025753579932,0.04758366749,-0.021830087558,6.8,4.6
11.193,0.0068,0.0046,-0.9807,0.853,0.1277,-0.038882983182,0.043275938203,-0.004392955021,6.8,4.6
11.194,0.0068,0.0046,-1.0662,0.5514,0.5148,-0.046358188815,0.032675277972,0.013682910844,6.8,4.6
11.195,0.0068,0.0046,-0.9966,0.1696,0.8269,-0.047092211548,0.017323197241,0.029769014307,6.8,4.6
11.196,0.0068,0.0046,-0.782,-0.2368,1.0188,-0.040978335451,-0.000547871718,0.041526207169,6.8,4.6
11.197,0.0068,0.0046,-0.4538,-0.6088,1.0626,-0.028905630063,-0.018339204587,0.04724483465,6.8,4.6
11.198,0.0068,0.0046,-0.0596,-0.8923,0.9519,-0.012629664492,-0.033463678856,0.046093343348,6.8,4.6
11.199,0.0068,0.0046,0.3433,-1.046,0.7027,0.005482780516,-0.04372197996,0.038239199444,6.8,4.6
11.2,0.0068,0.0046,0.6963,-1.0476,0.3513,0.022797879053,-0.047622413391,0.024824534338,6.8,4.6
11.201,0.0068,0.0046,0.948,-0.8969,-0.0511,0.036797758263,-0.044597817993,0.00780005973,6.8,4.6
11.202,0.0068,0.0046,1.0619,-0.6157,-0.4461,0.045446635024,-0.035088037998,-0.010358597026,6.8,4.6
11.203,0.0068,0.0046,1.0213,-0.2451,-0.7763,0.047486848754,-0.020475960712,-0.027010888042,6.8,4.6
11.204,0.0068,0.0046,0.8323,0.1613,-0.9935,0.042621742584,-0.002886421472,-0.039735321113,6.8,4.6
11.205,0.0068,0.0046,0.5222,0.5441,-1.0663,0.031558799788,0.01512278141,-0.046681581197,6.8,4.6
11.206,0.0068,0.0046,0.1362,0.8479,-0.984,0.015906762791,0.030932830824,-0.046839593614,6.8,4.6
11.207,0.0068,0.0046,-0.2697,1.0283,-0.7587,-0.002058304881,0.042244707746,-0.040186402865,6.8,4.6
11.208,0.0068,0.0046,-0.6363,1.0593,-0.423,-0.019723995217,0.047413503704,-0.027689508487,6.8,4.6
11.209,0.0068,0.0046,-0.9104,0.9361,-0.0258,-0.034521441416,0.045687614733,-0.011166173317,6.8,4.6
11.21,0.0068,0.0046,-1.0521,0.6769,0.3752,-0.044298871209,0.037318034366,0.006980836843,6.8,4.6
11.211,0.0068,0.0046,-1.0408,0.3192,0.7216,-0.047634507924,0.023521853433,0.024112654492,6.8,4.6
11.212,0.0068,0.0046,-0.8782,-0.0849,0.963,-0.044043317875,0.006305273347,0.037738044528,6.8,4.6
11.213,0.0068,0.0046,-0.5878,-0.4766,1.0645,-0.034047539696,-0.011828129303,0.045875668999,6.8,4.6
11.214,0.0068,0.0046,-0.212,-0.7991,1.0111,-0.019100740621,-0.028241463817,0.047342204438,6.8,4.6
11.215,0.0068,0.0046,0.1946,-1.0053,0.8107,-0.001376442202,-0.040547972309,0.041924414511,6.8,4.6
11.216,0.0068,0.0046,0.573,-1.0654,0.4924,0.016547946441,-0.046958102252,0.030410155811,6.8,4.6
11.217,0.0068,0.0046,0.868,-0.9705,0.1025,0.032065926694,-0.04653973543,0.014473808735,6.8,4.6
11.218,0.0068,0.0046,1.0368,-0.7345,-0.3023,0.042920938121,-0.039353731248,-0.003567206874,6.8,4.6
11.219,0.0068,0.0046,1.0548,-0.3917,-0.6631,0.04753449874,-0.026445074725,-0.021089424014,6.8,4.6
11.22,0.0068,0.0046,0.9195,0.0081,-0.9276,0.045235740745,-0.009690916111,-0.035544824633,6.8,4.6
11.221,0.0068,0.0046,0.6504,0.4067,-1.0571,0.036358963948,0.008472399451,-0.044831363398,6.8,4.6
11.222,0.0068,0.0046,0.2868,0.7461,-1.0329,0.022195020973,0.025403618406,-0.047598639379,6.8,4.6
11.223,0.0068,0.0046,-0.1186,0.9771,-0.8585,0.004803603509,0.038640661886,-0.043444265394,6.8,4.6
11.224,0.0068,0.0046,-0.5067,1.066,-0.5593,-0.01328627331,0.046258652997,-0.032972379687,6.8,4.6
